OID_,gradient,modificati,modificat1,modified,monitoring,municipali,natureofev,entrancelo,provincete,nhnwatersh,fishpassty,operatingn,operatedby,architect,constructe,length_m,contracted,depth_m,designedon,elevationm,engineerin,estimateof,estimateo1,fishwayref,hasevaluat,knownnotus,latitude,longitude,maxfishway,meanfishwa,entrancepo,completele,operationp,plansheldb,purpose,rivernamee,rivernamef,nhnwaters1,completel1,cabd_id,dam_id,known_use,datasource,featuretyp,waterbodyn,waterbody1,yearconstr,entrancep1,entrancel1,provincet1,fishpasst1,structuren,structure1,PRPWSHID,NHN7DWSH,NHN4DWSH
0,0.000000000000000, ,0,0, ,Thompson-Nicola M (Beautiful Nicola Valley - North), ,0,bc,Nicola,9, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,50.162929343400002,-120.665458592999997,0.000000000000000,0.000000000000000,0,0, , , , , ,08LG002, ,af69800a-dd63-4a26-94bc-e1dd7c75df5c,564a572b-1de0-4ab0-9d78-51968e7be8a1, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/af69800a-dd63-4a26-94bc-e1dd7c75df5c,fishways,Nicola Lake, ,0, , ,British Columbia,Unknown,Nicola Lake Dam Fishway, ,BC_113,08LG002,08LG
1,0.000000000000000,Improve passage over falls,1966,1,Personnel monitoring,Kitimat-Stikine A,"Spaghetti tags, Radio Telemetry",0,bc,Upper Nass,6,Meziadin Fishway, , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,56.022503231000002,-129.153755684000004,0.000000000000000,0.000000000000000,0,0,JulSep, ,Pass fish over falls,Meziadin River, ,08DA003, ,ef0f8c9e-52e3-47ba-8bd6-4ed0456fd2f3,4fe9d452-1dfc-476b-bdc1-d44c4005c9f9, ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/ef0f8c9e-52e3-47ba-8bd6-4ed0456fd2f3,fishways, , ,1966, , ,British Columbia,Vertical slot,Victoria Falls, ,BC_81,08DA003,08DA
2,0.000000000000000, ,0,0, ,Lacombe County, ,0,ab,Central Red Deer - Tail,1, , , , ,0.000000000000000, ,0.000000000000000,1,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,52.473994439999998,-113.084663899999995,0.000000000000000,0.000000000000000,0,0, , ,To pass Esox lucius,Parlby Creek, ,05CD000, ,015b98b9-b47a-4cf2-80ec-cd6f7954cbc9, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/015b98b9-b47a-4cf2-80ec-cd6f7954cbc9,fishways, , ,1988, , ,Alberta,Denil,Spotted Lake Fishway, ,AB-08020102,05CD000,05CD
3,4.000000000000000, ,0,0, ,Wood Buffalo, ,2,ab,Christina,2,"The structure was installed to maintain lake levels when an old, severed piece of outlet channel was reconnected to the lake.", , , ,0.000000000000000, ,0.000000000000000,0,2.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,56.439273254200003,-111.087505453000006,0.000000000000000,0.000000000000000,2,0, , ,to pass upstream into Gregoire Lake,Gregoire (Willow) Lake, ,07CE000, ,415e6ec5-ea81-4e7f-a6a0-8500317ca524, ,"{""Walleye (Sander vitreus)"",""Northern pike (Esox lucius)""}",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/415e6ec5-ea81-4e7f-a6a0-8500317ca524,fishways, , ,2011,Surface,Bank,Alberta,Nature-like fishway,Gregoire (Willow) Lake Fishway, ,AB-17060107,07CE000,07CE
4,0.000000000000000, ,0,0, ,Milton, ,0,on,Credit - 16 Mile,2, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,43.495325000000001,-79.912199999999999,0.000000000000000,0.000000000000000,0,0, , , , , ,02HB000, ,ca283730-6d60-49be-8910-0852360a4f71, ,{""Rainbow/steelhead trout (Oncorhynchus mykiss)""},https://cabd-web.azurewebsites.net/cabd-api/features/datasources/ca283730-6d60-49be-8910-0852360a4f71,fishways, , ,2001, , ,Ontario,Nature-like fishway,Milton Fishway, ,ON-02HB-02,02HB000,02HB
5,0.000000000000000, ,0,0, ,"Division No.  5, Subd. E", ,0,nl,Humber - Lower,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,49.509469439999997,-57.101144439999999,0.000000000000000,0.000000000000000,0,0, , , , , ,02YL000, ,03b3cc22-87cf-42fe-a01d-c05f861dc155, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/03b3cc22-87cf-42fe-a01d-c05f861dc155,fishways, , ,0, , ,Newfoundland and Labrador,Pool and weir,Adies Stream fishway, , ,02YL000,02YL
6,0.000000000000000, ,0,0, ,"Kings, Subd. A", ,0,ns,Annapolis,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0, ,44.963889000000002,-64.799999999999997,0.000000000000000,0.000000000000000,0,0, , , , , ,01DC000, ,78f0e6d7-af37-4c2a-97b2-adbe2f26e796, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/78f0e6d7-af37-4c2a-97b2-adbe2f26e796,fishways, , ,0, , ,Nova Scotia,Pool and weir, , , ,01DC000,01DC
7,0.000000000000000, ,0,0, ,"Annapolis, Subd. C",Evaluation of fish Passage,0,ns,Annapolis,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,Requires Repair & Requires Maintenance,0.000000000000000,0.000000000000000, ,1, ,44.985230000000001,-64.993049999999997,0.000000000000000,0.000000000000000,0,0, , , , , ,01DC000, ,29e5affb-38c8-4969-9034-3c0b48eeeb61, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/29e5affb-38c8-4969-9034-3c0b48eeeb61,fishways, , ,0, , ,Nova Scotia,Pool and weir, , , ,01DC000,01DC
8,0.000000000000000,"Repair storm damage, make modifications",1997,1, ,Hamilton, ,1,on,Credit - 16 Mile,7, ,Royal Botanical Gardens, , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000,The fishway is the only fishway in the world equipped to move fish in either direction. Fishway baskets are designed with water holding tanks at the bottom to allow fish to remain in water during transportation.,0.000000000000000,0.000000000000000, ,0, ,43.279644439999998,-79.893086109999999,0.000000000000000,0.000000000000000,0,0,MarNov, ,Prevent upstream migration of Carp, , ,02HB000, ,f82ce076-0afd-4116-8967-cd35e6ca67e0, ,"{""Golden redhorse (Moxostoma erythrurum)"",""Common carp (Cyprinus carpio)"",""Black crappie (Pomoxis nigromaculatus)"",""Bowfin (Amia calva)"",""Largemouth bass (Micropterus salmoides)"",""Shorthead redhorse (Moxostoma macrolepidotum)"",""Silver redhor",https://cabd-web.azurewebsites.net/cabd-api/features/datasources/f82ce076-0afd-4116-8967-cd35e6ca67e0,fishways, , ,1996, ,Midstream,Ontario,Other,Cootes Paradise Fishway, ,ON-02HB-01,02HB000,02HB
9,0.000000000000000, ,0,0, ,"Annapolis, Subd. A",Evaluation of fish Passage,0,ns,Annapolis,3, , , , ,0.000000000000000, ,0.000000000000000,0,0.000000000000000, ,0.000000000000000,0.000000000000000, ,1, ,44.800789066800000,-65.565708750699997,0.000000000000000,0.000000000000000,0,0, , , , , ,01DC000, ,0fb988f7-010f-4a75-ba1d-0c889335ebe5, , ,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0fb988f7-010f-4a75-ba1d-0c889335ebe5,fishways, , ,0, , ,Nova Scotia,Pool and weir,Longmire Dam, , ,01DC000,01DC
