NHN_Watershed_ID,Water,Trees,Flooded_Vegetation,Crops,Built_Area,Bare_Ground,Snow/Ice,Rangeland,Clouds
01AA,1.03,92.42,0.03,0.28,0.38,0.01,NA,5.84,NA
01AB,1.14,92.96,0.01,0.26,0.32,0.01,NA,5.29,NA
01AD,3.54,86.47,0,1.67,1.67,0.05,NA,6.6,NA
01AF,1.05,75.59,0.01,7.3,1.92,0.1,NA,14.03,NA
01AG,2.07,82.03,0.03,7.3,1.07,0.02,NA,7.49,NA
01AH,1.93,81.65,0.02,0.85,0.25,0.01,NA,15.29,NA
01AJ,1.6,68.48,0.03,17.87,2.4,0.05,NA,9.57,NA
01AK,4.05,75.8,0.11,1.56,2.48,0.05,NA,15.95,NA
01AL,0.55,84.72,0.04,0.3,1.05,0.01,NA,13.32,NA
01AM,3.5,77.1,0.54,0.11,1.95,0.02,NA,16.77,NA
01AN,0.74,83.67,0.12,0.37,0.25,0.01,NA,14.85,NA
01AO,10.96,70.3,2.06,0.24,2.39,0.02,NA,14.02,NA
01AP,8.16,71.85,0.31,1.38,3.29,0.08,NA,14.94,NA
01AQ,40.78,51.94,0.1,0.02,0.79,0.05,NA,6.32,NA
01AR,12.68,77.99,0.06,0.02,0.87,0.01,NA,8.37,NA
01BA,0.22,79.49,0,5.3,0.53,0.02,NA,14.45,NA
01BB,0.73,87.21,NA,0.45,NA,NA,NA,11.61,NA
01BC,1,86.94,0,0.8,0.33,0.02,NA,10.92,NA
01BD,2.03,84.28,0,4.94,0.91,0.02,NA,7.81,NA
01BE,0.38,79.78,0,1.8,0.02,0.01,NA,18.01,NA
01BF,7.02,85.34,0.07,0.74,1.42,0.02,NA,5.39,NA
01BG,8.78,85.71,0.02,0.62,0.5,0.01,NA,4.35,NA
01BH,28.21,66.66,0.12,0.23,0.88,0.07,NA,3.84,NA
01BJ,22.66,69.12,0.03,0.32,2.12,0.1,NA,5.64,NA
01BK,1.03,86.85,0.01,0.59,0.27,0.03,NA,11.22,NA
01BL,44.89,42.18,0.94,0.6,2.23,0.03,NA,9.13,NA
01BM,0.76,85.54,0.12,1.24,0.14,0.01,NA,12.18,NA
01BN,0.75,82.36,0.08,0.64,0.28,0.02,NA,15.87,NA
01BO,3,82.82,0.17,0.17,1.44,0.02,NA,12.38,NA
01BP,2.25,87.21,0.08,0.08,0.16,0.01,NA,10.22,NA
01BQ,0.82,85.9,0.02,0.38,0.06,0.06,NA,12.75,NA
01BR,31.54,53.52,2.23,0.22,0.67,0.06,NA,11.77,NA
01BS,28.75,57.57,0.29,1.07,2.22,0.04,NA,10.06,NA
01BT,49.25,38.4,0.35,0.82,2.86,0.01,NA,8.31,NA
01BU,5.81,69.26,0.42,2.59,5.69,0.18,NA,16.05,NA
01BV,42.9,49.13,0.37,0.1,0.55,0.05,NA,6.9,NA
01CA,62.01,21.82,0.15,12,0.84,0.04,NA,3.14,NA
01CB,55.35,13.7,0.03,26.34,1.91,0.03,NA,2.64,NA
01CC,49.3,19.48,0.13,21.94,3.68,0.04,NA,5.42,NA
01CD,55.97,29.07,0.04,10.74,0.52,0.04,NA,3.62,NA
01CE,54.09,26.47,0.03,14.73,1.13,0.01,NA,3.53,NA
01DA,48.47,42.37,0.08,0,1.86,0.02,NA,7.2,NA
01DB,49.77,45.92,0.02,0.02,0.73,0.01,NA,3.54,NA
01DC,32.53,55.75,0.09,3.87,1.76,0.01,NA,5.99,NA
01DD,44.48,37.85,0.1,10.11,2.98,0.02,NA,4.45,NA
