PRV_Watershed,Water,Trees,Flooded Vegetation,Crops,Built Area,Bare Ground,Snow/Ice,Rangeland,Clouds
AB-02010101,3.43,0.4,NA,45.01,0.55,0.22,NA,50.39,NA
AB-02010102,0.77,0.01,0.02,52.05,0.81,0.06,NA,46.28,NA
AB-02010103,2.26,0.08,NA,24.04,0.17,1.45,NA,72,NA
AB-02020101,2.34,0.02,NA,63.04,0.41,0.61,NA,33.58,NA
AB-02020102,0.9,0.03,0.06,23.43,0.2,0.52,NA,74.86,NA
AB-02020103,0.3,0.05,0.03,2.02,0.04,0.14,NA,97.42,NA
AB-02020104,0.44,NA,0.03,3.22,NA,0.03,NA,96.28,NA
AB-02020201,0.4,44.71,NA,2.98,NA,NA,NA,51.91,NA
AB-02020202,0.4,0.36,NA,2.36,0.01,NA,NA,96.87,NA
AB-02020203,0.2,3.42,0.09,2.8,0.03,0.06,NA,93.41,NA
AB-04010101,0.9,57.87,NA,4.98,0.05,2.55,0.27,33.38,NA
AB-04010102,0.71,44.42,NA,7.42,1.41,4.02,0.47,41.55,NA
AB-04010103,0.69,56.8,NA,6.59,0.22,2.32,0.24,33.14,NA
AB-04010104,0.64,16.81,0.13,29.31,1.82,0.42,0.05,50.82,NA
AB-04010105,0.9,6.68,0.02,33.97,1.02,0.18,NA,57.23,NA
AB-04010201,0.61,18.02,0.05,19.36,0.52,0.24,NA,61.19,NA
AB-04010301,2.47,16.45,1.22,20.22,0.38,3.35,0.28,55.63,NA
AB-04010302,1.49,6.19,0.42,37.62,0.72,0.17,0.03,53.36,NA
AB-04010303,3.17,0.07,0.01,69.32,4.72,0.16,NA,22.55,NA
AB-04010401,2.54,3.97,0.05,34.2,0.69,0.36,NA,58.18,NA
AB-04010402,1.29,0.11,0.07,40.26,1.05,0.04,NA,57.18,NA
AB-04010501,1.92,0.01,0.04,88.99,1.67,0.01,NA,7.36,NA
AB-04010502,0.33,0.37,0.02,55.27,0.9,0.02,NA,43.09,NA
AB-04010503,0.95,NA,NA,83.38,0.72,0.07,NA,14.88,NA
AB-04010504,5.56,NA,NA,55.96,0.55,0.04,NA,37.88,NA
AB-04010505,1.65,NA,NA,59.89,0.72,0.06,NA,37.68,NA
AB-04010601,1.87,0.01,0.03,62.7,1.45,0.02,NA,33.92,NA
AB-04010602,1.96,NA,NA,75.28,2.36,0.03,NA,20.37,NA
AB-04020101,1.75,48.6,0.02,NA,0.15,17.6,15.97,15.9,NA
AB-04020201,1.08,55.44,0.66,NA,0.5,19.21,6.28,16.84,NA
AB-04020301,3.21,49.19,0.01,NA,0.04,23.53,9.16,14.86,NA
AB-04020401,2.8,46.94,0.13,2.97,2.03,9.94,1.2,34.01,NA
AB-04020501,3.6,43.49,NA,NA,0.02,29.77,7.38,15.74,NA
AB-04020601,2.29,54.44,NA,0.01,0.16,20.34,8.29,14.46,NA
AB-04020701,0.35,57.16,NA,0.02,0.05,22,1.95,18.47,NA
AB-04020801,2.2,3.1,0.09,21.05,30.57,0.97,NA,42.03,NA
AB-04020802,0.76,55.09,0.02,2.15,0.47,1,0.02,40.5,NA
AB-04020803,0.99,0.92,2.2,51.48,22.26,1.38,NA,20.77,NA
AB-04020901,3.22,1.24,0.04,56.26,9.41,0.19,NA,29.65,NA
AB-04020902,0.14,0.06,NA,89.72,0.74,0.06,NA,9.29,NA
AB-04020903,1.45,0.05,0.05,75.04,0.66,0.06,NA,22.68,NA
AB-04021001,0.8,48.02,0.01,6.84,6.35,15.67,1.73,20.57,NA
AB-04021101,0.48,47.37,NA,10.83,9.07,0.2,0.01,32.04,NA
AB-04021102,1.54,10.07,0.19,41.86,16.05,0.66,NA,29.62,NA
AB-04021201,0.55,40.4,0.01,18.69,1.12,4.18,0.59,34.46,NA
AB-04021202,0.41,45.7,0.01,17.68,3.7,5.19,0.53,26.79,NA
AB-04021301,5.42,0.01,0.13,36.92,0.39,0.1,NA,57.03,NA
AB-04021302,1.61,NA,0.03,18.68,0.26,0.08,NA,79.35,NA
AB-04030101,2.03,NA,NA,55.95,1.12,0.14,NA,40.76,NA
AB-04030201,0.81,0.13,0.03,52.61,1.45,0.01,NA,44.96,NA
AB-04030202,0.37,3.33,0.03,31.99,0.86,0.02,NA,63.41,NA
AB-04030301,0.98,0.01,NA,12.59,0.25,0.23,NA,85.93,NA
AB-04030401,0.36,1.04,NA,24,0.14,0.42,NA,74.05,NA
