Station,Stationnam,Latitude,Longitude,Chlmedian,Chlaboveth,Condmed,Condaboveth,DOmedian,Dobelowth,JAMeanTemp,NHN_TWS,NHNTWS_NAME,OCEANBAS,HUC_8,HUC_6,HUC_4,HUC_2
AB05AA0440,PINCHER CREEK,49.48194,-113.96861,1.40,NO,380.0,NO,10.41,NO,16.27,05AA,Upper Oldman,Hudson Bay,AB-04010104,040101,0401,04
AB05AA0480,PINCHER CREEK,49.54628,-113.79454,3.65,NO,427.0,NO,10.41,NO,19.02,05AA,Upper Oldman,Hudson Bay,AB-04010104,040101,0401,04
AB05AA1595,ATHABASCA RIVER  AT OLD ENTRANCE TOWN SITE - LEFT BANK,49.55861,-113.82222,1.40,NO,281.5,NO,10.53,NO,13.50,05AA,Upper Oldman,Hudson Bay,AB-04010105,040101,0401,04
AB05AB0100,BEAVER CREEK,49.63928,-113.79517,6.15,NO,643.0,YES,10.56,NO,17.50,05AB,Central Oldman - Willow,Hudson Bay,AB-04010105,040101,0401,04
AB05AD0010,OLDMAN RIVER,49.70170,-112.86624,2.30,NO,332.0,NO,9.70,NO,19.21,05AD,Central Oldman - Belly,Hudson Bay,AB-04010303,040103,0401,04
AB05AD0070,BELLY RIVER,49.47722,-113.30167,1.50,NO,352.0,NO,9.88,NO,19.76,05AD,Central Oldman - Belly,Hudson Bay,AB-04010302,040103,0401,04
AB05AD0190,WATERTON RIVER,49.43028,-113.49583,,,240.5,NO,10.62,NO,16.64,05AD,Central Oldman - Belly,Hudson Bay,AB-04010301,040103,0401,04
AB05AD0240,BELLY RIVER,49.72750,-113.17806,1.90,NO,323.0,NO,10.08,NO,20.02,05AD,Central Oldman - Belly,Hudson Bay,AB-04010302,040103,0401,04
AB05AE0070,ST. MARY RIVER,49.58889,-112.88056,1.70,NO,321.0,NO,10.19,NO,17.98,05AE,St. Mary,Hudson Bay,AB-04010401,040104,0401,04
AB05BG0090,GHOST RIVER,51.28316,-114.83917,,,340.0,NO,10.61,NO,10.06,05BG,Ghost,Hudson Bay,AB-04020701,040207,0402,04
AB05BG0100,WAIPAROUS CREEK,51.28244,-114.83754,,,347.0,NO,10.87,NO,11.04,05BG,Ghost,Hudson Bay,AB-04020701,040207,0402,04
AB05BH0010,BOW RIVER,51.18306,-114.48708,2.35,NO,298.0,NO,10.31,NO,14.52,05BH,Central Bow - Jumpingpond,Hudson Bay,AB-04020801,040208,0402,04
AB05BH0040,JUMPINGPOUND CREEK,51.18472,-114.49583,,,390.5,NO,10.37,NO,14.85,05BH,Central Bow - Jumpingpond,Hudson Bay,AB-04020801,040208,0402,04
AB05BH0370,NOSE CREEK,51.04639,-114.01889,,,1252.0,YES,10.10,NO,17.84,05BH,Central Bow - Jumpingpond,Hudson Bay,AB-04020803,040208,0402,04
AB05BJ0450,ELBOW RIVER,51.04483,-114.04194,12.00,NO,434.0,NO,10.19,NO,17.39,05BH,Central Bow - Jumpingpond,Hudson Bay,AB-04021001,040210,0402,04
