Station,Latitude,Longitude,Chlmedian,Chlabovet,Condmed,Condabovet,DOmedian,DObelowt,TPmedian,TPabovet,Nitmed,Nitabovet,JAMeanTemp,NHN_TWS,TWS_NAME,OCEANBAS,ON_QWS,NAME
10000100302,42.24458,-83.07082,206.0,YES,1130.0,YES,5.54,YES,0.105,YES,0.921,NO,23.33,02GH,Cedar,Atlantic Ocean,02GHA02,Turkey Creek - Detroit River
10000200202,42.15906,-83.01880,132.0,YES,1010.0,YES,8.61,NO,0.153,YES,1.640,NO,25.90,02GH,Cedar,Atlantic Ocean,02GHA03,Canard River
1010400202,48.48248,-89.18802,,,,,,,,,,,17.78,02AB,Dog,Atlantic Ocean,02AB-01,Current River
1010600202,48.39966,-89.24544,,,,,,,,,,,19.99,02AB,Dog,Atlantic Ocean,02AB-02,McIntyre River
1010700202,48.38123,-89.35788,,,,,,,,,,,17.68,02AB,Dog,Atlantic Ocean,02AB-02,McIntyre River
1010800602,48.32580,-89.40438,,,,,,,,,,,19.36,02AB,Dog,Atlantic Ocean,02AB-03,Oliver Lake - Kaministiquia River
104001,43.83919,-79.03984,,,,,12.22,NO,,,,,21.70,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104008,43.96145,-79.12565,,,,,11.66,NO,,,,,18.21,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104023,43.86687,-79.08601,83.2,NO,,,10.63,NO,,,,,19.32,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104025,43.85092,-79.07582,47.9,NO,,,11.58,NO,,,,,22.08,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104026,43.86966,-79.07430,138.0,YES,,,10.05,NO,,,,,21.58,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104027,43.87148,-79.06518,,,,,,,,,,,19.78,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104028,43.90776,-79.07292,131.5,YES,,,10.96,NO,,,,,16.89,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104029,43.95051,-79.08526,24.9,NO,,,11.64,NO,,,,,17.43,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
104037,43.93716,-79.20343,93.6,NO,,,11.60,NO,,,,,19.07,02HC,Humber - Don,Atlantic Ocean,02HC-08,Duffins Creek
11000100502,43.02862,-79.21113,25.6,NO,351.5,NO,9.29,NO,0.045,YES,0.920,NO,0.00,02HA,Niagara,Atlantic Ocean,02HA-02,Welland River
11000100702,42.97204,-79.31767,38.7,NO,467.5,NO,9.86,NO,0.200,YES,1.650,NO,0.00,02HA,Niagara,Atlantic Ocean,02HA-02,Welland River
11000101202,43.02133,-79.61771,74.8,NO,722.5,YES,8.66,NO,0.118,YES,1.120,NO,0.00,02HA,Niagara,Atlantic Ocean,02HA-02,Welland River
11000101302,42.98063,-79.56233,43.1,NO,579.0,YES,8.08,NO,0.520,YES,2.430,NO,0.00,02HA,Niagara,Atlantic Ocean,02HA-02,Welland River
12007300302,45.14450,-74.57768,,,,,,,,,,,23.49,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA06,Raisin River
12007300802,45.10993,-74.77306,,,,,,,,,,,22.86,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA06,Raisin River
12007301102,45.15011,-74.73579,,,,,,,,,,,23.04,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA06,Raisin River
12007301502,45.09994,-74.67696,,,,,,,,,,,19.55,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA06,Raisin River
12008000302,45.28217,-74.44979,,,,,,,,,,,24.04,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA08,Rivière Beaudette
12008600102,45.31764,-74.60217,,,,,,,,,,,24.74,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA07,Rivière Delisle
12008600202,45.32857,-74.61791,,,,,,,,,,,24.71,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA07,Rivière Delisle
12008600402,45.30296,-74.63752,,,,,,,,,,,25.29,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA07,Rivière Delisle
12008601102,45.31271,-74.63227,,,,,,,,,,,24.88,02MC,Upper St. Lawrence - Raisin,Atlantic Ocean,02MCA07,Rivière Delisle
14002800302,46.42733,-81.09778,,,,,,,,,,,22.78,02CF,Vermilion (Ont.),Atlantic Ocean,02CF-02,McCharles Lake - Vermilion River
14002801202,46.60479,-81.38127,,,,,,,,,,,21.08,02CF,Vermilion (Ont.),Atlantic Ocean,02CF-07,Onaping River
14002803002,46.53756,-81.26590,,,,,,,,,,,22.10,02CF,Vermilion (Ont.),Atlantic Ocean,02CF-03,Cascade Falls - Vermilion River
14002808902,46.47269,-80.99620,,,,,,,,,,,21.33,02CF,Vermilion (Ont.),Atlantic Ocean,02CF-02,McCharles Lake - Vermilion River
14002809002,46.43383,-81.28167,,,,,,,,,,,23.02,02CF,Vermilion (Ont.),Atlantic Ocean,02CF-02,McCharles Lake - Vermilion River
14002809102,46.52354,-81.19624,,,,,,,,,,,22.78,02CF,Vermilion (Ont.),Atlantic Ocean,02CF-03,Cascade Falls - Vermilion River
16008700502,42.78718,-81.26733,83.1,NO,770.0,YES,8.17,NO,0.134,YES,4.480,YES,22.87,02GC,Big (Ont.),Atlantic Ocean,02GC-09,Kettle Creek
16008700602,42.70748,-81.19759,33.2,NO,549.0,YES,9.31,NO,0.054,YES,1.215,NO,24.63,02GC,Big (Ont.),Atlantic Ocean,02GC-09,Kettle Creek
16008701002,42.69273,-81.21758,84.3,NO,720.0,YES,9.15,NO,0.171,YES,5.340,YES,23.59,02GC,Big (Ont.),Atlantic Ocean,02GC-09,Kettle Creek
16008701502,42.81367,-81.17261,40.7,NO,620.0,YES,8.31,NO,0.082,YES,2.045,NO,22.09,02GC,Big (Ont.),Atlantic Ocean,02GC-09,Kettle Creek
16010900702,42.96593,-80.54253,27.8,NO,592.0,YES,9.47,NO,0.053,YES,4.330,YES,17.48,02GC,Big (Ont.),Atlantic Ocean,02GC-07,Rock's Mills Dam - Big Otter Creek
16010900802,42.71095,-80.84016,34.1,NO,599.0,YES,9.82,NO,0.050,YES,3.960,YES,19.32,02GC,Big (Ont.),Atlantic Ocean,02GC-06,Little Otter Creek - Big Otter Creek
16010901002,42.93289,-80.66202,43.4,NO,622.0,YES,10.23,NO,0.066,YES,4.790,YES,21.60,02GC,Big (Ont.),Atlantic Ocean,02GC-07,Rock's Mills Dam - Big Otter Creek
16012401102,42.68583,-80.53843,26.3,NO,583.0,YES,9.81,NO,0.031,YES,3.540,YES,19.03,02GC,Big (Ont.),Atlantic Ocean,02GC-03,Big Creek Marsh - Big Creek
16012401202,42.98726,-80.44486,25.4,NO,671.0,YES,9.14,NO,0.038,YES,3.215,YES,19.36,02GC,Big (Ont.),Atlantic Ocean,02GC-05,Big Creek Marsh - Big Creek
16012401402,42.77904,-80.47588,22.9,NO,509.0,YES,10.47,NO,0.016,NO,3.055,YES,13.35,02GC,Big (Ont.),Atlantic Ocean,02GC-04,Teeterville Dam - Big Creek
16015900302,42.82338,-80.28893,57.9,NO,723.0,YES,10.16,NO,0.039,YES,3.570,YES,17.29,02GC,Big (Ont.),Atlantic Ocean,02GC-02,Black Creek - Lynn River
16015901002,42.83521,-80.36722,27.3,NO,548.0,YES,9.66,NO,0.013,NO,2.690,NO,16.08,02GC,Big (Ont.),Atlantic Ocean,02GC-02,Black Creek - Lynn River
16016400102,42.80999,-80.07651,42.3,NO,555.5,YES,12.00,NO,0.094,YES,1.250,NO,24.60,02GC,Big (Ont.),Atlantic Ocean,02GC-01,Nanticoke Creek
16018400902,43.19221,-80.38292,44.1,NO,,,10.93,NO,0.018,NO,3.020,YES,23.90,02GA,Upper Grand,Atlantic Ocean,02GA-05,Charlie Creek - Nith River Outlet
16018401002,43.27898,-80.34339,107.0,NO,773.0,YES,13.38,NO,0.031,YES,3.630,YES,24.98,02GA,Upper Grand,Atlantic Ocean,02GA-01,Mill Creek - Grand River
16018401202,43.38660,-80.38680,80.3,NO,681.0,YES,10.35,NO,0.046,YES,3.525,YES,22.14,02GA,Upper Grand,Atlantic Ocean,02GA-01,Mill Creek - Grand River
16018401502,43.48180,-80.48175,30.8,NO,505.5,YES,12.06,NO,0.026,NO,2.195,NO,23.48,02GA,Upper Grand,Atlantic Ocean,02GA-02,Schneider Creek - Grand River
16018401602,43.58475,-80.53462,82.3,NO,754.0,YES,11.36,NO,0.115,YES,3.810,YES,22.51,02GA,Upper Grand,Atlantic Ocean,02GA-03,Cox Creek - Grand River
16018402702,43.10974,-80.24491,91.3,NO,789.0,YES,11.13,NO,0.024,NO,3.385,YES,23.58,02GB,Lower Grand,Atlantic Ocean,02GB-03,Caledonia Dam - Grand River
16018402902,43.52485,-80.51440,27.9,NO,,,12.21,NO,0.036,YES,3.330,YES,23.82,02GA,Upper Grand,Atlantic Ocean,02GA-07,Conestogo River
16018403202,43.37548,-80.67888,45.0,NO,,,8.97,NO,0.061,YES,2.970,NO,0.00,02GA,Upper Grand,Atlantic Ocean,02GA-06,Alder Creek - Nith River
16018403302,43.27486,-80.47478,52.6,NO,,,12.05,NO,0.020,NO,3.325,YES,0.00,02GA,Upper Grand,Atlantic Ocean,02GA-05,Charlie Creek - Nith River Outlet
16018403402,43.53362,-80.25302,49.4,NO,598.0,YES,10.29,NO,0.021,NO,0.843,NO,20.67,02GA,Upper Grand,Atlantic Ocean,02GA-09,Ellis Creek - Speed River
16018403502,42.90027,-79.61985,87.8,NO,814.0,YES,10.15,NO,0.072,YES,3.150,YES,24.75,02GB,Lower Grand,Atlantic Ocean,02GB-01,Grand River Outlet
16018403602,43.48425,-80.28215,139.0,YES,919.0,YES,8.47,NO,0.038,YES,4.850,YES,19.95,02GA,Upper Grand,Atlantic Ocean,02GA-09,Ellis Creek - Speed River
16018403702,43.72484,-80.34399,16.2,NO,,,10.89,NO,0.034,YES,1.360,NO,20.50,02GA,Upper Grand,Atlantic Ocean,02GA-04,West Montrose - Grand River
16018404102,43.42201,-80.41048,67.5,NO,596.0,YES,10.37,NO,0.024,NO,2.230,NO,0.00,02GA,Upper Grand,Atlantic Ocean,02GA-02,Schneider Creek - Grand River
16018405102,43.61625,-80.56016,25.5,NO,,,9.74,NO,0.149,YES,2.690,NO,23.20,02GA,Upper Grand,Atlantic Ocean,02GA-03,Cox Creek - Grand River
16018405202,43.63461,-80.58016,21.9,NO,,,9.44,NO,0.158,YES,3.695,YES,0.00,02GA,Upper Grand,Atlantic Ocean,02GA-03,Cox Creek - Grand River
16018406702,43.86170,-80.27243,17.6,NO,,,11.65,NO,0.022,NO,0.554,NO,22.15,02GA,Upper Grand,Atlantic Ocean,02GA-08,Lake Belwood - Grand River
16018407402,43.48414,-80.83529,30.6,NO,,,10.77,NO,0.040,YES,2.960,NO,22.68,02GA,Upper Grand,Atlantic Ocean,02GA-14,Smith Creek - Nith River
16018407502,43.75687,-80.66993,27.7,NO,,,10.97,NO,0.045,YES,3.745,YES,22.63,02GA,Upper Grand,Atlantic Ocean,02GA-10,Conestogo Lake - Conestogo River
16018407702,43.65483,-80.70207,19.8,NO,,,12.23,NO,0.074,YES,3.500,YES,20.38,02GA,Upper Grand,Atlantic Ocean,02GA-07,Conestogo River
16018409002,43.96723,-80.35495,11.1,NO,,,10.94,NO,0.024,NO,1.340,NO,22.21,02GA,Upper Grand,Atlantic Ocean,02GA-13,Black Creek - Grand River
16018409102,43.75763,-80.74877,24.5,NO,,,13.36,NO,0.037,YES,2.670,NO,24.08,02GA,Upper Grand,Atlantic Ocean,02GA-10,Conestogo Lake - Conestogo River
16018409202,43.02193,-79.89200,92.5,NO,,,10.24,NO,0.042,YES,3.440,YES,23.33,02GB,Lower Grand,Atlantic Ocean,02GB-02,Holmes Creek - Grand River
16018409302,43.14897,-80.17155,67.3,NO,728.0,YES,7.90,NO,0.119,YES,1.240,NO,20.65,02GB,Lower Grand,Atlantic Ocean,02GB-05,Fairchild Creek
16018409902,43.63993,-80.27013,28.7,NO,,,10.75,NO,0.012,NO,1.320,NO,19.69,02GA,Upper Grand,Atlantic Ocean,02GA-11,Guelph Lake - Speed River
16018410102,43.39967,-80.36561,137.0,YES,,,9.53,NO,0.029,NO,3.740,YES,21.63,02GA,Upper Grand,Atlantic Ocean,02GA-09,Ellis Creek - Speed River
16018410202,43.54792,-80.18240,38.4,NO,,,9.62,NO,0.012,NO,0.987,NO,19.11,02GA,Upper Grand,Atlantic Ocean,02GA-16,Eramosa River
16018410302,43.58811,-80.47062,26.1,NO,,,12.58,NO,0.020,NO,1.755,NO,22.92,02GA,Upper Grand,Atlantic Ocean,02GA-04,West Montrose - Grand River
16018410402,43.69545,-80.44782,27.4,NO,,,11.17,NO,0.020,NO,2.320,NO,21.75,02GA,Upper Grand,Atlantic Ocean,02GA-18,Irvine Creek
16018410602,43.12610,-80.38370,39.2,NO,,,11.02,NO,0.023,NO,3.835,YES,19.01,02GB,Lower Grand,Atlantic Ocean,02GB-04,Whitemans Creek
16018410602,43.12610,-80.38370,39.2,NO,700.5,YES,11.02,NO,0.023,NO,3.835,YES,19.01,02GB,Lower Grand,Atlantic Ocean,02GB-04,Whitemans Creek
16018411702,43.39381,-80.41612,222.0,YES,1320.0,YES,10.51,NO,0.021,NO,0.760,NO,20.30,02GA,Upper Grand,Atlantic Ocean,02GA-02,Schneider Creek - Grand River
16018412602,43.58794,-80.27398,27.5,NO,,,10.63,NO,0.021,NO,0.821,NO,21.03,02GA,Upper Grand,Atlantic Ocean,02GA-11,Guelph Lake - Speed River
16018412702,43.55904,-80.63497,38.2,NO,,,12.40,NO,0.063,YES,1.830,NO,23.84,02GA,Upper Grand,Atlantic Ocean,02GA-07,Conestogo River
16018412802,43.09605,-80.03049,96.8,NO,,,9.20,NO,0.057,YES,2.315,NO,22.95,02GB,Lower Grand,Atlantic Ocean,02GB-08,Big Creek
16018412902,43.02365,-79.91486,34.5,NO,,,9.29,NO,0.081,YES,0.652,NO,23.93,02GB,Lower Grand,Atlantic Ocean,02GB-06,McKenzie Creek
16018413002,43.48238,-80.48335,266.5,YES,,,11.21,NO,0.036,YES,0.739,NO,22.76,02GA,Upper Grand,Atlantic Ocean,02GA-02,Schneider Creek - Grand River
16018413102,43.41308,-80.22687,64.0,NO,,,9.69,NO,0.011,NO,0.800,NO,17.10,02GA,Upper Grand,Atlantic Ocean,02GA-01,Mill Creek - Grand River
16018415502,43.35519,-80.66507,59.9,NO,,,11.46,NO,0.053,YES,1.760,NO,0.00,02GA,Upper Grand,Atlantic Ocean,02GA-06,Alder Creek - Nith River
